artist,title,lines,words,total_LQI,codeswitch_score,repetition_score,cadence_text_score,rhyme,internal,chain,multi_dens,compound_dens,holorime_dens,syl_density,syl_weight,alliteration,assonance,consonance,onomatopoeia,vocab,wordplay,simile,metaphor,pun,entendre,english,codeswitch,repetition,cadence_var,coherence_cosine,theme_cosine,pairwise_spread,mean_surprisal_nats,callback_cosine
Raftaar,Dilli Waali Baatcheet,79,523,36.97,15.58,42.37,83.32,46.88,64.1,0.0,32.47,0.0,0.0,83.71,77.18,100.0,87.44,74.22,0.0,68.13,66.88,1.3,0.0,7.79,0.0,62.5,5.19,10.53,53.32,0.4526,0.6115,0.6367,7.023,
Raftaar,Do Hazaar Solo,46,302,35.96,98.55,19.44,97.41,25.56,37.04,0.0,8.7,0.0,0.0,75.76,78.39,90.71,66.25,91.43,17.39,89.75,71.74,0.0,0.0,8.7,2.17,47.09,93.48,4.44,89.65,0.4172,0.6175,0.6324,6.2672,
Raftaar,Down,66,418,29.58,4.62,34.18,91.07,15.63,36.23,0.0,4.62,0.0,0.0,70.6,43.34,74.84,81.59,62.27,0.0,67.18,30.87,0.0,0.0,4.62,0.0,100.0,1.54,7.81,64.28,0.5209,0.708,0.5072,7.3626,
Raftaar,Drama,84,381,37.12,33.58,16.01,76.75,45.93,25.64,51.28,10.84,0.0,0.0,63.77,57.54,42.5,18.87,30.35,0.0,29.04,4.29,0.0,0.0,1.2,0.0,90.42,12.05,3.66,46.75,0.3643,0.5975,0.6539,5.7945,
Raftaar,F16,94,539,18.28,93.31,23.78,68.93,21.17,27.4,23.48,4.3,0.0,0.0,46.85,38.11,78.33,5.81,35.47,4.3,92.0,37.37,1.08,0.0,3.23,4.3,35.05,69.89,5.43,38.93,0.452,0.6326,0.61,8.259,
Raftaar,Feeling You,50,300,36.03,0.0,88.78,87.01,18.8,78.43,0.0,0.0,0.0,0.0,58.3,45.0,61.76,63.38,42.65,0.0,72.82,40.12,0.0,0.0,6.0,0.0,73.33,0.0,38.78,57.01,0.6858,0.7428,0.4575,6.5365,
Raftaar,Gaddi,67,334,28.71,98.34,0.0,67.59,35.8,26.67,17.14,13.43,0.0,0.0,44.38,35.77,77.03,49.0,56.86,0.0,96.67,33.58,0.0,0.0,2.99,4.48,36.26,92.54,0.0,37.59,0.3965,0.606,0.6435,8.1829,
Raftaar,Gall Goriye,65,289,36.58,81.15,6.84,76.59,34.65,60.0,17.14,10.77,0.0,0.0,51.89,80.09,65.69,90.77,55.83,6.15,85.25,15.77,0.0,0.0,3.08,0.0,27.5,46.15,1.56,46.59,0.5237,0.7295,0.4757,7.1451,
Raftaar,Gangnum,71,385,37.39,79.12,76.87,90.41,32.26,48.78,27.87,5.88,0.0,0.0,48.73,29.89,90.19,35.68,43.06,52.5,43.0,0.0,0.0,0.0,0.0,0.0,36.9,44.12,26.87,61.65,0.6166,0.6701,0.5603,4.5829,
Raftaar,Go Pagal,44,208,37.11,69.09,77.91,68.04,25.14,20.83,26.79,9.09,0.0,0.0,41.03,53.39,33.85,0.0,70.09,0.0,70.77,8.1,0.0,0.0,2.27,0.0,23.47,34.09,27.91,38.04,0.6339,0.7349,0.4707,6.978,
Raftaar,Goat Dekho,85,605,30.83,92.86,10.54,88.37,25.79,51.28,30.77,0.0,0.0,0.0,68.41,20.74,88.9,85.39,89.15,19.05,86.0,51.19,2.38,0.0,4.76,3.57,26.85,67.86,2.41,58.37,0.5472,0.721,0.4883,7.4972,
Raftaar,Haan,53,313,31.89,94.13,67.76,68.87,36.77,31.75,27.21,13.21,0.0,0.0,59.8,62.59,67.55,48.77,42.15,0.0,77.95,46.23,3.77,1.89,3.77,1.89,36.08,73.58,19.23,38.87,0.5713,0.738,0.4641,6.7422,
Raftaar,Haseeno Ka Deewana,42,187,31.95,69.15,40.83,59.34,15.67,20.2,0.0,7.32,0.0,0.0,47.57,81.95,27.5,57.5,51.54,0.0,90.5,21.95,0.0,4.88,0.0,0.0,20.91,34.15,10.0,31.77,0.5363,0.7584,0.4355,7.672,
Raftaar,Ice,57,466,33.22,92.86,75.45,93.51,53.25,100.0,37.27,14.29,0.0,0.0,90.27,82.03,96.02,88.03,88.1,7.14,95.67,83.87,3.57,0.0,12.5,3.57,84.26,67.86,25.45,74.05,0.2987,0.5235,0.7391,6.5603,
Raftaar,Lonely,62,313,28.34,88.23,21.52,77.4,30.58,0.0,0.0,11.29,0.0,0.0,48.6,44.55,20.25,61.67,0.0,6.45,56.67,79.03,0.0,14.52,0.0,0.0,27.17,53.23,4.92,47.4,0.4553,0.6856,0.5389,7.5794,
Raftaar,Main Wahi Hoon,124,613,31.73,0.0,10.76,74.05,38.28,17.92,24.58,16.26,0.0,0.0,48.51,80.05,71.25,71.46,53.79,0.0,74.73,55.28,0.81,0.0,6.5,0.0,0.0,0.0,2.46,44.05,0.4701,0.6378,0.6032,6.725,
Raftaar,Mantoiyat,70,396,32.01,72.14,0.0,72.92,40.11,29.41,21.01,25.71,0.0,0.0,56.38,80.06,71.15,62.5,55.83,5.71,96.67,75.71,2.86,0.0,10.0,0.0,15.18,37.14,0.0,42.92,0.5527,0.7391,0.4615,6.9565,
Raftaar,Mask On,75,466,30.87,86.35,55.62,71.58,18.0,30.3,0.0,5.41,0.0,0.0,60.0,80.2,79.51,40.77,58.39,0.0,82.4,4.81,0.0,0.0,1.35,0.0,95.12,51.35,15.07,41.58,0.3035,0.512,0.7504,5.9256,
Raftaar,Me And My Pen,80,527,34.56,39.08,45.32,65.34,46.38,79.71,0.0,15.19,0.0,0.0,70.58,80.65,84.1,30.33,56.74,0.0,63.59,60.76,0.0,7.59,3.8,0.0,74.51,15.19,11.54,35.34,0.4806,0.658,0.5767,6.9381,
Raftaar,Move,38,243,38.16,73.89,53.33,90.55,66.16,98.77,31.75,41.67,0.0,0.0,80.59,83.62,91.65,49.7,68.33,0.0,67.69,80.0,13.89,0.0,2.78,2.78,95.65,38.89,14.29,62.22,0.5152,0.6792,0.5541,4.8965,
Raftaar,Naachne Ka Shaunq,104,637,29.42,71.84,78.72,78.98,27.68,14.29,0.0,13.68,0.0,0.0,52.22,43.46,65.22,50.1,63.85,19.42,78.46,56.97,5.26,1.05,3.16,6.32,47.21,36.84,28.72,48.98,0.5161,0.6482,0.5897,6.1764,
Raftaar,Never Back Down,64,451,36.57,87.38,39.89,80.61,51.28,56.74,0.0,41.27,0.0,0.0,73.15,46.67,82.1,84.22,69.48,0.0,73.23,31.85,0.0,0.0,4.76,0.0,38.19,52.38,9.68,50.61,0.519,0.7432,0.4552,6.3566,
Raftaar,No China,72,521,33.56,82.89,25.0,90.09,49.76,100.0,0.0,15.49,0.0,0.0,76.87,82.44,74.58,70.0,79.27,11.27,87.2,58.1,0.0,0.0,7.04,0.0,85.84,47.89,5.71,60.35,0.2846,0.5336,0.7274,6.3705,
Raftaar,Popular,55,323,42.24,90.3,0.0,87.81,13.2,37.04,0.0,1.82,0.0,0.0,70.0,83.48,78.64,55.0,68.33,0.0,65.64,42.42,7.27,0.0,1.82,0.0,49.75,56.36,0.0,57.81,0.6017,0.7167,0.4953,6.742,
Raftaar,Proud,96,686,39.17,90.05,13.82,68.01,47.27,55.56,11.9,29.17,0.0,0.0,66.53,31.11,66.05,54.82,44.09,0.0,65.49,25.52,2.08,0.0,2.08,2.08,44.53,55.21,3.16,38.01,0.6175,0.7132,0.4996,5.4175,
Raftaar,Raashah,90,633,31.96,86.69,0.0,81.04,55.54,91.32,11.74,19.1,0.0,0.0,84.82,80.81,81.47,85.08,83.78,22.16,86.0,83.42,4.49,0.0,12.36,2.25,84.62,51.69,0.0,51.04,0.3727,0.5558,0.7029,6.8016,
Raftaar,Sare Karo Dab,67,416,33.67,93.03,33.14,91.99,17.97,73.45,0.0,1.49,0.0,0.0,66.56,72.67,99.38,74.95,86.66,5.97,87.8,30.6,0.0,0.0,1.49,4.48,41.64,68.66,7.58,67.96,0.5521,0.7159,0.4958,7.7179,
Raftaar,Sheikh Chilli,110,678,35.88,79.95,35.97,93.05,35.41,34.27,0.0,24.77,0.0,0.0,70.44,80.38,74.17,86.91,85.93,7.27,87.29,50.92,0.92,0.0,5.5,1.83,23.61,44.95,8.33,72.22,0.6121,0.7591,0.4309,7.3088,
Raftaar,Sick,49,280,30.75,92.59,55.11,71.76,22.5,46.51,0.0,8.33,0.0,0.0,64.68,78.37,77.29,38.31,27.3,0.0,84.0,55.21,6.25,0.0,2.08,6.25,91.76,66.67,14.89,41.76,0.3562,0.5483,0.7143,6.6135,
