artist,title,true_tier,pred_tier,conf,chars,rhyme,syllable,alliteration,vocabulary,wordplay,assonance,consonance,onomatopoeia,compound_dens,holorime_dens
JTrix,Bohot Sahi,commercial,commercial,0.5793,2820,42.2,76.0,8.8,66.7,79.4,44.7,55.5,16.1,0.0,0.0
JTrix,East Side Flow,commercial,commercial,0.8245,2878,24.9,24.4,0.0,33.3,8.2,26.5,14.2,19.5,0.0,0.0
JTrix,Ek Tarfa,commercial,commercial,0.8123,899,18.2,30.1,0.0,54.4,9.1,22.9,8.7,0.0,0.0,0.0
JTrix,Jazbaat,commercial,commercial,0.7576,1414,6.2,25.9,0.0,35.6,5.5,68.1,17.6,0.0,0.0,0.0
JTrix,Kaala,commercial,commercial,0.7675,1973,44.4,89.5,0.0,66.0,77.8,49.6,73.1,0.0,0.0,0.0
JTrix,Kalaakaar,commercial,commercial,0.5881,2255,38.0,62.6,10.1,95.1,41.2,89.5,78.7,0.0,0.0,0.0
JTrix,Khayaal,commercial,commercial,0.6421,1105,38.7,41.3,9.3,54.4,0.0,12.1,33.7,0.0,0.0,0.0
JTrix,Kya Scene,commercial,commercial,0.5836,2042,35.4,77.6,0.0,50.6,78.5,86.2,38.1,81.3,0.0,0.0
JTrix,Mast,commercial,commercial,0.5121,2901,26.5,76.0,4.4,44.2,81.3,90.0,58.9,41.8,0.0,0.0
JTrix,Masti Nahi,commercial,commercial,0.5612,1831,14.6,95.0,22.3,74.0,88.2,91.1,85.0,0.0,0.0,0.0
JTrix,Mera Naam,commercial,commercial,0.8384,1266,25.7,63.8,0.0,49.4,8.4,26.3,82.3,0.0,2.6,0.0
JTrix,Muskura,commercial,commercial,0.7472,2677,47.3,82.9,4.7,43.1,23.4,57.2,85.0,31.2,0.0,0.0
JTrix,One and Only,commercial,commercial,0.7456,2534,45.0,60.0,0.0,47.5,96.0,43.0,60.6,15.7,0.0,0.0
JTrix,Pehchaan,commercial,commercial,0.7668,2344,26.4,66.5,5.6,46.9,23.2,44.9,45.9,0.0,1.7,0.0
JTrix,Sharaab,commercial,mid,0.5314,1915,45.8,54.2,0.0,26.7,28.0,13.3,14.3,0.0,0.0,0.0
JTrix,Sort Hai,commercial,commercial,0.5996,2509,43.0,52.4,4.5,81.2,69.3,51.4,34.4,16.6,2.7,0.0
JTrix,Streets,commercial,commercial,0.4923,2290,57.8,90.5,13.3,83.6,84.7,100.0,85.0,0.0,0.0,0.0
JTrix,Tehelka,commercial,commercial,0.455,2459,25.2,28.9,4.2,89.0,61.6,70.0,85.0,15.2,0.0,0.0
JTrix,Waqt,commercial,commercial,0.7816,1197,47.0,49.8,0.0,21.2,0.0,16.9,15.9,0.0,0.0,0.0
Kaam Bhaari,BHAARAT,mid,commercial,0.3806,6557,43.3,95.0,2.0,62.5,65.5,58.8,85.0,0.0,0.0,0.0
Kaam Bhaari,Mohabbat,mid,mid,0.7445,1065,31.9,93.1,0.0,46.9,13.7,88.0,85.0,0.0,0.0,0.0
Kaam Bhaari,Pataka,mid,commercial,0.7817,2023,59.2,32.1,0.0,53.4,21.5,16.9,49.9,30.8,0.0,0.0
Kaam Bhaari,Zeher,mid,mid,0.5724,1802,32.0,92.2,0.0,33.8,43.0,76.3,67.2,23.9,0.0,0.0
Karma,Airplane Mode,elite,commercial,0.7949,3249,11.1,47.9,3.5,67.4,71.5,20.7,24.8,0.0,0.0,0.0
Karma,Baba Yaga,elite,commercial,0.7647,2306,34.8,27.9,0.0,49.9,52.6,17.5,12.4,13.1,0.0,0.0
Karma,Basic Bars,elite,commercial,0.5576,1681,14.2,56.1,0.0,96.2,84.7,66.5,64.1,0.0,0.0,0.0
Karma,Beat Do,elite,commercial,0.7436,2767,28.1,27.4,6.5,53.8,46.1,13.5,22.4,0.0,0.0,0.0
Karma,Best Nai,elite,commercial,0.658,2672,37.0,68.3,0.0,68.8,65.2,66.0,62.5,0.0,0.0,0.0
Karma,Catchy Hook,elite,commercial,0.75,3437,15.1,30.0,0.0,34.5,69.5,22.0,13.9,10.7,0.0,0.0
Karma,Fate,elite,commercial,0.7609,2390,17.3,41.5,0.0,72.0,9.7,49.0,14.5,0.0,0.0,0.0
Karma,Fearless,elite,elite,0.4426,1337,69.6,88.8,0.0,25.7,11.1,86.4,62.8,0.0,0.0,0.0
Karma,Gangster,elite,commercial,0.6937,1996,26.5,60.8,0.0,46.9,88.9,23.6,16.4,0.0,0.0,0.0
Karma,Godzilla,elite,commercial,0.7334,3515,42.3,72.2,0.0,60.6,75.0,31.6,52.5,0.0,0.0,0.0
Karma,Google Pay,elite,commercial,0.7341,3805,34.5,63.4,0.0,78.0,89.3,80.4,69.3,12.0,0.0,0.0
Karma,I GET IT,elite,commercial,0.7999,2269,14.5,21.2,7.0,72.0,78.0,11.9,13.2,0.0,0.0,0.0
Karma,Lena Mera Naam,elite,commercial,0.7744,803,31.9,53.3,0.0,50.6,12.6,16.7,12.1,0.0,0.0,0.0
Karma,Lessons,elite,commercial,0.513,2588,27.6,72.1,5.0,80.0,77.3,16.2,62.8,0.0,0.0,0.0
Karma,Mere Bhai Log,elite,commercial,0.7244,2234,39.3,78.7,6.0,59.1,64.2,88.7,45.0,0.0,1.7,0.0
Karma,No Bro,elite,commercial,0.7764,1639,19.7,27.8,0.0,43.1,55.8,36.9,18.4,0.0,0.0,0.0
Karma,Online,elite,mid,0.433,2348,46.1,94.8,12.6,77.7,91.3,100.0,85.0,0.0,0.0,0.0
Karma,Pomfret Fry,elite,commercial,0.7444,2831,10.1,27.2,3.3,88.4,69.0,14.1,15.1,12.0,0.0,0.0
Karma,SAARI SAARI RAAT,elite,commercial,0.806,629,38.9,87.3,21.4,23.3,0.0,43.9,58.9,86.4,0.0,0.0
Karma,SUCCESS,elite,commercial,0.6964,2050,15.0,55.2,0.0,48.8,75.1,86.3,76.6,20.6,0.0,0.0
Karma,Take Diss,elite,commercial,0.742,2619,34.5,41.2,7.8,59.6,72.0,33.5,36.0,0.0,0.0,0.0
Karma,Tera Hua,elite,commercial,0.6766,695,27.2,64.6,0.0,21.4,0.0,16.6,4.1,0.0,0.0,0.0
Karma,The Game Is On,elite,commercial,0.6711,2080,18.8,36.2,0.0,70.0,51.8,17.0,36.6,0.0,0.0,0.0
Karma,Tony Montana,elite,commercial,0.722,2652,24.1,38.8,10.6,72.0,87.9,30.8,29.4,40.0,0.0,1.3
Karma,Zaruri Nahi,elite,commercial,0.6791,3007,40.1,38.6,6.9,72.0,82.3,75.3,44.0,0.0,0.0,0.0
King,90s,commercial,commercial,0.7968,2678,27.7,62.7,0.0,41.6,28.2,12.2,24.1,0.0,0.0,0.0
King,Baazi,commercial,commercial,0.8655,4567,25.5,95.0,0.0,27.0,19.1,17.4,58.9,12.9,0.0,0.0
King,Desi Dan Bilzerian,commercial,mid,0.4199,3056,28.5,90.5,11.9,87.7,59.8,100.0,85.0,0.0,1.4,0.0
King,Dracula,commercial,commercial,0.5665,1757,39.0,77.5,0.0,43.1,85.2,91.8,27.1,0.0,0.0,0.0
King,EKTARFA,commercial,commercial,0.6394,2416,30.6,93.5,0.0,93.5,52.1,57.5,72.4,0.0,0.0,0.0
King,GOAT SHIT,commercial,commercial,0.6832,6530,19.8,72.0,1.7,71.5,71.5,78.1,72.6,17.9,0.0,0.0
King,IICONIC,commercial,commercial,0.7509,2351,15.6,38.1,4.1,78.4,27.0,57.8,14.6,0.0,0.0,0.0
King,KODAK,commercial,commercial,0.5851,10229,22.6,82.2,2.5,90.3,33.7,73.2,58.4,32.3,0.0,0.0
King,Laapata,commercial,commercial,0.4905,642,0.0,61.0,0.0,35.6,0.0,85.6,17.1,0.0,0.0,0.0
King,Let The Eyes Talk,commercial,commercial,0.7682,1633,6.5,59.6,0.0,33.8,6.3,8.4,9.3,0.0,0.0,0.0
King,Maan Meri Jaan,commercial,commercial,0.6189,1119,11.0,75.2,0.0,29.6,0.0,17.4,28.6,0.0,0.0,0.0
King,No Loss,commercial,commercial,0.6514,2064,36.3,78.5,0.0,78.0,28.7,63.8,85.0,0.0,0.0,0.0
King,OOPS,commercial,commercial,0.7726,2236,17.4,73.2,0.0,45.0,4.6,19.3,13.9,0.0,0.0,0.0
King,Picasso,commercial,commercial,0.5146,1901,12.0,29.2,0.0,56.9,35.1,11.9,13.4,0.0,0.0,0.0
